,BIN,House #,Street Name,Zip_code,Borough,Status,Number of DWT,Activity_Type,Activity_Year,Violation_Code,Law_Section,Violation_Text,Compliance_Year,Date_of_Occurrence,Summons_Number,BBL,Longitude,Latitude,Community_Board,Council_District,Census_Tract,NTA_Code
21,2093927.0,775,concourse village east,10451,bronx,active,2.0,nyc health department audit & inspection,2021.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2019.0,12/27/2021,871261353.0,2024430170.0,-73.919789,40.82318,204.0,16.0,6100.0,bx0401
22,2093927.0,775,concourse village east,10451,bronx,active,2.0,nyc health department audit & inspection,2021.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2020.0,12/27/2021,871261362.0,2024430170.0,-73.919789,40.82318,204.0,16.0,6100.0,bx0401
33,2024145.0,1210,croes avenue,10472,bronx,active,1.0,nyc health department inspection,2021.0,ah7f,nychc 141.07(e),failure to correct unsanitary condition of drinking water tank.,2021.0,12/27/2021,871261472.0,2037490001.0,-73.870695,40.829726,209.0,18.0,6800.0,bx0901
36,2006150.0,1106,hoe avenue,10459,bronx,active,1.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871262628.0,2027510003.0,-73.890815,40.825577,202.0,17.0,12701.0,bx0202
42,2004223.0,530,east  169 street,10456,bronx,active,1.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871262682.0,2026100012.0,-73.904676,40.832613,203.0,16.0,14500.0,bx0302
55,2000856.0,366,east 150 street,10455,bronx,active,1.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/18/2022,871262801.0,2023280012.0,-73.918539,40.817031,201.0,17.0,6500.0,bx0102
330,2000933.0,349,east 149 street,10451,bronx,active,1.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871266230.0,2023317501.0,-73.919959,40.81667,201.0,17.0,6500.0,bx0102
331,2006555.0,750,faile street,10474,bronx,active,1.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871266249.0,2027630227.0,-73.886849,40.815923,202.0,17.0,11701.0,bx0201
332,2007694.0,2021,grand concourse,10453,bronx,active,1.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871266258.0,2028087502.0,-73.904077,40.851861,205.0,14.0,23501.0,bx0502
333,2009910.0,1910,arthur avenue,10457,bronx,active,1.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871266267.0,2029477501.0,-73.8935,40.845391,206.0,15.0,36901.0,bx0602
