,BIN,House #,Street Name,Zip_code,Borough,Status,Number of DWT,Activity_Type,Activity_Year,Violation_Code,Law_Section,Violation_Text,Compliance_Year,Date_of_Occurrence,Summons_Number,BBL,Longitude,Latitude,Community_Board,Council_District,Census_Tract,NTA_Code
9,3002094.0,26,court street,11242,brooklyn,active,2.0,nyc health department audit,2021.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2019.0,12/27/2021,871261234.0,3002500001.0,-73.99066,40.693244,302.0,33.0,900.0,bk0201
23,3001717.0,21,clark street,11201,brooklyn,active,1.0,nyc health department audit & inspection,2021.0,ah7e,nychc 141.07(c),failure to provide results of drinking water tank inspection within five business days after receipt of department’s request.,2020.0,12/27/2021,871261371.0,3002300001.0,-73.995326,40.698094,302.0,33.0,301.0,bk0201
24,3001717.0,21,clark street,11201,brooklyn,active,1.0,nyc health department audit & inspection,2021.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2019.0,12/27/2021,871261380.0,3002300001.0,-73.995326,40.698094,302.0,33.0,301.0,bk0201
30,3424470.0,250,ashland place,11217,brooklyn,active,3.0,nyc health department audit & inspection,2021.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2019.0,12/27/2021,871261445.0,3021077501.0,-73.978336,40.687723,302.0,35.0,3300.0,bk0203
31,3424470.0,250,ashland place,11217,brooklyn,active,3.0,nyc health department audit & inspection,2021.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2020.0,12/26/2021,871261454.0,3021077501.0,-73.978336,40.687723,302.0,35.0,3300.0,bk0203
32,3425311.0,96,wythe avenue,11249,brooklyn,active,1.0,nyc health department inspection,2021.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2019.0,11/24/2021,871261463.0,3022950021.0,-73.958332,40.721489,301.0,33.0,55700.0,bk0102
37,3413889.0,503,fulton street,11201,brooklyn,active,1.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871262637.0,3001457501.0,-73.985136,40.690584,302.0,33.0,1502.0,bk0202
39,3024471.0,1,plaza st west,11217,brooklyn,active,2.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871262655.0,3010600008.0,-73.971148,40.675145,306.0,39.0,15900.0,bk0602
354,3000265.0,6,metrotech center,11201,brooklyn,active,2.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871266469.0,3001427502.0,-73.987205,40.694032,302.0,33.0,1100.0,bk0202
355,3000350.0,81,willoughby street,11201,brooklyn,active,1.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871266478.0,3001480046.0,-73.985753,40.692184,302.0,33.0,1100.0,bk0202
356,3000412.0,80,willoughby street,11201,brooklyn,active,1.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871266487.0,3001527502.0,-73.985616,40.692162,302.0,33.0,1100.0,bk0202
