,BIN,House #,Street Name,Zip_code,Borough,Status,Number of DWT,Activity_Type,Activity_Year,Violation_Code,Law_Section,Violation_Text,Compliance_Year,Date_of_Occurrence,Summons_Number,BBL,Longitude,Latitude,Community_Board,Council_District,Census_Tract,NTA_Code
87,1016004.0,424,5 avenue,10018,manhattan,active,1.0,self-reported annual inspection,2022.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2022.0,02/10/2023,871263874.0,1008400042.0,-73.982665,40.751056,105.0,4.0,8400.0,mn0502
124,1006656.0,7,east 7 street,10003,manhattan,active,1.0,self-reported annual inspection,2022.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2022.0,02/10/2023,871264222.0,1005440076.0,-73.990486,40.728986,103.0,2.0,4200.0,mn0303
401,1036494.0,417,park avenue,10022,manhattan,active,1.0,self-reported annual inspection,2022.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2022.0,02/10/2023,871266909.0,1013090069.0,-73.971794,40.760158,105.0,4.0,10000.0,mn0604
516,1020600.0,421,1 avenue,10010,manhattan,active,2.0,self-reported annual inspection,2022.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2022.0,02/10/2023,871268723.0,1009300034.0,-73.977797,40.737919,106.0,2.0,6600.0,mn0603
538,1016005.0,436-438,fifth avenue,10018,manhattan,active,1.0,self-reported annual inspection,2022.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2022.0,02/10/2023,871268934.0,1008400042.0,-73.98243,40.75138,105.0,4.0,8400.0,mn0502
553,1001167.0,111,john street,10038,manhattan,active,3.0,other,2022.0,ah7f,nychc 141.07(e),failure to correct unsanitary condition of drinking water tank,2022.0,03/18/2022,871269585.0,1000750030.0,-74.005764,40.707671,101.0,1.0,1502.0,mn0101
554,1089722.0,555,10 avenue,10018,manhattan,active,4.0,nyc health department inspection,2022.0,ah7e,nychc 141.07(c),failure to provide results of drinking water tank inspection within five business days after receipt of department’s request,2021.0,08/19/2022,871276625.0,1010697501.0,-73.996105,40.758778,104.0,3.0,11700.0,mn0401
555,1015808.0,31,west   31 street,10001,manhattan,active,1.0,nyc health department inspection,2022.0,ah7e,nychc 141.07(c),failure to provide results of drinking water tank inspection within five business days after receipt of department’s request,2021.0,11/30/2022,871281052.0,1008330022.0,-73.987329,40.747132,105.0,3.0,7600.0,mn0501
558,1051486.0,1200,5 avenue,10029,manhattan,active,1.0,nyc health department inspection,2022.0,ah7e,nychc 141.07(c),failure to provide results of drinking water tank inspection within five business days after receipt of department’s request,2021.0,11/30/2022,871281099.0,1016077501.0,-73.953388,40.791138,111.0,8.0,16800.0,mn1101
559,1010639.0,120,west   14 street,10011,manhattan,active,2.0,nyc health department inspection,2022.0,ah7e,nychc 141.07(c),failure to provide results of drinking water tank inspection within five business days after receipt of department’s request,2019.0,11/30/2022,871283252.0,1006090023.0,-73.998207,40.737043,102.0,3.0,7100.0,mn0203
