,BIN,House #,Street Name,Zip_code,Borough,Status,Number of DWT,Activity_Type,Activity_Year,Violation_Code,Law_Section,Violation_Text,Compliance_Year,Date_of_Occurrence,Summons_Number,BBL,Longitude,Latitude,Community_Board,Council_District,Census_Tract,NTA_Code
1112,4214012.0,147-36,94th avenue,11435,queens,active,1.0,self-reported annual inspection,2023.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2023.0,02/26/2024,871304859.0,4099997501.0,-73.806271,40.699257,412.0,27.0,20800.0,qn1201
1364,4030340.0,40-33,69th street,11377,queens,active,1.0,self-reported annual inspection,2023.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2023.0,02/26/2024,871307425.0,4013010010.0,-73.896189,40.745678,402.0,26.0,26300.0,qn0203
1365,4038182.0,81-11,45th avenue,11373,queens,active,1.0,self-reported annual inspection,2023.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2023.0,02/26/2024,871307434.0,4015270001.0,-73.88367,40.741537,404.0,25.0,48100.0,qn0401
1366,4074666.0,98-05,67th avenue,11374,queens,active,1.0,self-reported annual inspection,2023.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2023.0,02/26/2024,871307443.0,4031560133.0,-73.855599,40.72417,406.0,30.0,71306.0,qn0602
1367,4309412.0,133-36,41st road,11355,queens,active,1.0,self-reported annual inspection,2023.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2023.0,02/26/2024,871307452.0,4050427501.0,-73.830442,40.7569,407.0,20.0,84902.0,qn0707
1368,4436178.0,125,beach 17th street,11691,queens,active,2.0,self-reported annual inspection,2023.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2023.0,02/26/2024,871307461.0,4156380001.0,-73.75121,40.594254,414.0,31.0,101004.0,qn1401
1369,4436179.0,120,beach 19th street,11691,queens,active,1.0,self-reported annual inspection,2023.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2023.0,02/26/2024,871307470.0,4156380001.0,-73.753179,40.593572,414.0,31.0,101004.0,qn1401
1370,4539113.0,27-17,42nd rd,11101,queens,active,2.0,self-reported annual inspection,2023.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2023.0,02/26/2024,871307480.0,4004227501.0,-73.940305,40.749313,402.0,26.0,1902.0,qn0201
1371,4539430.0,99-40,63rd road,11374,queens,active,1.0,self-reported annual inspection,2023.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2023.0,02/26/2024,871307499.0,4021117501.0,-73.855599,40.732701,406.0,24.0,72100.0,qn0602
11716,4210455.0,87-50,167th street,11432,queens,active,1.0,self-reported annual inspection,2023.0,0,0,0,2023.0,0,0.0,4098380062.0,-73.796044,40.710592,408.0,24.0,45400.0,qn0805
